,observation_timestamp_utc,event_date,ingested_at,source,dataset,country_code,country,bidding_zone,technology,cluster_name,response_lat,response_lon,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,shortwave_radiation,direct_radiation,diffuse_radiation,global_tilted_irradiance,wind_speed_100m,wind_direction_100m,wind_gusts_10m
0,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,DE,Germany,DE-LU,wind-onshore,Reussenkoege Wind Farm,54.52000045776367,8.479999542236328,6.702000141143799,86.0,0.0,1018.2999877929688,,,,,,20.620805740356445,253.7797393798828,21.959999084472656
1,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,PT,Portugal,PT,solar,Amareleja Solar Park,38.1875,-7.1875,18.273500442504883,82.0,0.0,990.2799072265625,100.0,7.0,3.0,4.0,0.0,,,
2,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,CZ,Czechia,CZ,solar,FVE Ralsko Solar Farm,50.599998474121094,14.899999618530273,2.1565001010894775,90.0,0.0,978.143798828125,96.0,0.0,0.0,0.0,0.0,,,
3,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,AT,Austria,AT,wind-onshore,Pretul Wind Farm,47.560001373291016,15.759998321533203,-0.15299999713897705,100.0,0.0,833.5333251953125,,,,,,9.983105659484863,334.3590393066406,83.52000427246094
4,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,BE,Belgium,BE,wind-offshore,Northwester 2,51.68199920654297,2.754999876022339,8.800000190734863,70.0,0.0,1016.2999877929688,,,,,,22.319997787475586,114.0,25.19999885559082
5,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,IT,Italy,IT-Sardinia,solar,Guspini Solar Farm,39.625,8.625,14.645500183105469,76.0,0.0,1011.3885498046875,0.0,0.0,0.0,0.0,0.0,,,
6,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,IT,Italy,IT-Sicily,solar,Fenix Solar Farm,37.5625,14.8125,16.390499114990234,49.0,0.0,989.216552734375,0.0,0.0,0.0,0.0,0.0,,,
7,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,IT,Italy,IT-South,solar,Troia Solar Farm,41.375,15.375,12.518500328063965,93.0,0.0,979.270751953125,49.0,0.0,0.0,0.0,0.0,,,
8,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,IT,Italy,IT-Centre-South,solar,Italy Solar Farm 1,42.1875,12.0625,12.249500274658203,92.0,0.0,974.1878662109375,0.0,0.0,0.0,0.0,0.0,,,
9,2026-04-10 19:00:00+00:00,2026-04-10,2026-04-10 19:08:55.814590+00:00,open-meteo,current,IT,Italy,IT-Centre-North,solar,Montalto di Castro Solar Farm,42.375,11.625,15.019499778747559,90.0,0.0,1011.1581420898438,18.0,0.0,0.0,0.0,0.0,,,
